umap0,umap1,umap2,umap3,umap4,umap5,umap6,umap7,umap8,umap9,attack
5.841549,11.538291,6.4104967,5.7243066,2.936095,6.2217627,1.6786784,5.6881933,6.0586724,3.323979,0
7.12863,8.432508,5.9664702,5.0480866,3.6485403,6.1535907,3.046594,4.2724123,5.661905,3.6440709,0
6.7352514,9.316926,5.4286003,5.293971,3.8082592,6.153981,2.83103,4.561733,5.7218885,3.5623155,0
7.2661347,8.589441,6.474942,5.219287,3.2443962,5.950316,2.862733,4.3523626,5.6919127,3.4604704,0
5.6276064,12.263466,6.8418007,6.00577,2.3122826,5.8939285,1.5149723,5.833256,6.088223,3.2710874,0
5.482669,12.63135,6.157362,5.7777605,3.0698206,6.6407285,1.2732764,6.109427,6.2092953,3.417326,0
4.680319,13.389173,5.662578,6.243399,2.831923,5.918516,1.328158,6.2892475,6.1500697,3.2514007,0
4.8348355,12.764949,5.819515,5.941648,3.0451713,6.1943126,1.3941016,6.218324,6.152274,3.349885,0
6.876958,9.297084,8.005162,5.125629,2.2892733,6.1213784,2.286011,4.8777604,5.8881383,3.5916436,0
6.9361696,8.749859,6.5744777,4.975359,3.3318257,6.3182592,2.7532244,4.550649,5.764908,3.7033541,0
6.592561,9.801329,7.241101,5.659614,2.350649,5.4661674,2.340963,4.9178534,5.810756,3.2277174,0
6.4346027,9.581615,5.5754275,5.221466,3.8361428,6.3547473,2.567531,4.871247,5.814053,3.5666778,0
5.1278186,13.118778,6.159744,6.4144797,2.4095023,5.568869,1.3810385,6.0843196,6.0983424,3.0567114,0
5.0943127,13.216493,5.456719,6.482975,2.8194945,5.602182,1.4864677,6.0260277,6.0663404,3.036998,0
5.9088945,10.673383,5.573666,5.5626884,3.4795074,6.098247,2.2926257,5.219632,5.879598,3.478771,0
6.597013,9.859407,6.2153788,5.4794507,3.3021238,6.071727,2.307391,4.9925714,5.856756,3.3061032,0
5.693177,11.649817,7.305135,5.886923,2.1949246,5.813712,1.5141692,5.819914,6.0790906,3.1821358,0
5.9902167,10.514592,7.7159686,5.207214,2.3109865,6.3051963,1.9422802,5.420224,6.0164,3.7281556,0
6.9665494,8.495899,5.6587896,5.0416155,3.842336,6.180012,3.0739686,4.3154707,5.657132,3.6578143,0
5.416623,12.442762,7.0561447,5.9613953,2.1695094,5.9469566,1.4140829,5.970129,6.128291,3.3387775,0
5.7708726,10.643015,5.9697695,5.2707753,3.504382,6.5327225,2.08318,5.4380965,5.9793453,3.646107,0
6.940031,7.490488,8.554815,4.4945183,2.342784,6.1517663,2.7878768,4.496249,5.767503,3.8761947,0
5.656079,11.064515,5.835577,6.2397485,2.7580702,5.0046897,2.2114382,5.3200164,5.809767,2.937216,0
4.930658,12.111756,6.103218,5.5380282,3.0852613,6.46758,1.6239568,6.0235896,6.121721,3.6674361,0
6.600439,10.361575,7.0459247,5.134178,2.9845252,6.7698574,1.9644868,5.240651,6.023864,3.6970572,0
