umap0,umap1,umap2,attack
5.6326766,-1.406876,7.4814534,0
3.5709953,1.5577496,5.5896583,0
4.142667,0.4811925,5.411227,0
3.3152125,1.4093639,6.345382,0
5.4263053,-2.2090185,8.398573,0
6.781199,-2.3215144,7.5565734,0
6.3543906,-3.7339005,7.557987,0
6.5746555,-3.027261,7.4951177,0
4.0177426,1.268275,8.448481,0
3.993357,1.5739802,6.294952,0
3.666141,0.14116494,7.95403,0
4.614417,0.37232438,5.6093025,0
5.619739,-3.5853617,8.084093,0
5.695649,-3.7118263,7.3140807,0
5.054809,-0.87368,6.138386,0
4.3863263,-0.0033231322,6.653529,0
5.2760673,-1.6583918,8.749328,0
5.2115784,0.065059826,8.582863,0
3.7726197,1.428152,5.266354,0
5.6981263,-2.359543,8.673822,0
5.7756243,-0.37930846,6.4944243,0
3.4580562,3.3072317,8.229699,0
4.036094,-1.9514269,6.935814,0
6.7083254,-2.020308,7.2769685,0
5.2579885,0.4178129,7.581918,0
5.6560235,-0.5075986,6.635649,0
6.2791185,-1.9224325,9.149483,0
4.58444,1.1234275,5.869717,0
5.392752,0.69316256,7.6092567,0
6.8123217,-3.676812,7.1637063,0
6.626116,-4.456139,7.316938,0
5.8183465,-0.3071694,7.8878856,0
5.0815606,-1.1693001,8.755272,0
6.313828,0.20552045,7.117546,0
5.045778,-0.08887604,5.324371,0
5.839919,-3.6118033,7.7792172,0
5.927972,0.07933474,7.3069434,0
3.5203865,1.7211262,6.3984375,0
4.758211,1.2023507,6.9972486,0
4.983877,-1.3192092,8.720856,0
4.240122,0.16589946,7.2172084,0
6.468683,-4.7711353,7.380556,0
6.2004366,-2.0867016,6.262158,0
6.3211474,-2.437044,9.041072,0
3.7457888,-0.18014927,6.0304375,0
3.869736,1.3234586,6.806369,0
5.8799486,-2.1132917,8.182522,0
4.7172327,-1.8021984,7.237638,0
6.5092783,-2.0687714,8.062082,0
6.874268,-2.6274786,7.1880503,0
4.3855,0.26391608,5.4881277,0
4.9244614,-1.323257,6.1575313,0
5.891051,-3.6920745,7.6820297,0
6.0028706,-2.2047231,6.321709,0
3.734068,0.7707698,5.718822,0
4.072578,0.12843001,5.850689,0
5.2922535,-1.1273857,8.919686,0
6.157519,-4.66054,7.4775987,0
4.133051,0.6744091,7.2612,0
5.2671084,-0.0047203633,8.104344,0
5.1185603,0.50727546,8.745916,0
6.0723066,-2.6840167,8.725243,0
6.1387224,-4.64455,7.900121,0
4.3469872,1.2064272,5.393783,0
6.3773766,-0.8987206,7.153921,0
6.5721383,-3.2891386,7.937502,0
4.8536725,-0.6516793,6.4922376,0
3.143998,1.5201102,8.182464,0
6.3145185,-2.7176504,6.588983,0
4.5643682,0.38648686,5.0810733,0
4.214767,1.8785049,7.7862663,0
6.4266825,-3.1816816,8.108326,0
3.5466106,1.7534758,6.769871,0
3.8991344,-0.39340958,6.3777075,0
4.1478024,1.6035064,5.3841467,0
6.4596586,-0.5132529,7.9593725,0
4.9798703,0.3969042,7.12458,0
5.299788,-2.8134818,7.997854,0
6.085536,-4.2441792,7.5886674,0
3.3838985,3.005405,7.374697,0
3.6630042,1.9462116,6.2125964,0
6.0637827,-4.5349708,7.693222,0
6.3206897,-1.0710421,7.888555,0
3.3828757,2.6397796,7.9254293,0
3.6667604,2.6028469,7.63029,0
5.413828,-0.17909984,5.478814,0
5.2572594,-1.9141529,6.872092,0
3.1213443,2.161253,6.3298373,0
3.6613843,1.9471102,6.049951,0
4.334837,0.019755432,6.163022,0
