umap0,umap1,umap2,umap3,umap4,attack
4.3283896,-1.4797512,8.720447,4.1912165,6.005533,0
2.9269705,1.5603395,6.882495,5.081719,4.563185,0
3.4091728,0.5380943,6.6400113,4.561016,5.027548,0
2.7876334,1.3955925,7.5510206,4.844815,4.3808923,0
4.648129,-1.8103349,9.610815,3.5939872,6.0411544,0
4.6699414,-2.4270408,8.823897,4.0992785,6.878686,0
5.645321,-3.0527086,8.798059,3.139934,6.729719,0
5.3966146,-2.6646805,8.670777,3.7535846,6.549368,0
3.232271,1.1161041,9.60601,5.2029448,4.8132663,0
3.1393566,1.3161716,7.5703335,5.2921286,4.832916,0
3.5801854,0.43447167,9.084676,4.2580132,4.492505,0
3.6196349,0.21252173,6.857655,4.8341923,5.2573924,0
5.270166,-2.7553046,9.3172455,2.8570924,6.176782,0
5.2854714,-2.9471111,8.58563,2.697919,6.2815714,0
4.216359,-0.697514,7.402841,4.19441,5.628404,0
3.4702966,0.016974924,7.85568,4.6134377,5.0445123,0
4.563164,-1.3950101,9.942437,3.9899158,5.5911207,0
4.2101374,-0.014784216,9.757764,4.9010215,5.6029844,0
3.1084735,1.3613157,6.552662,5.0584235,4.6523204,0
4.8574233,-1.9198943,9.937822,3.641567,6.1830173,0
4.3192844,-0.69497573,7.751493,4.8004045,5.945093,0
3.156724,2.7431805,9.356993,6.303463,4.0111284,0
4.6480427,-1.10646,8.167296,3.156626,4.7622156,0
5.2571483,-1.8718336,8.43571,4.269706,6.5516324,0
3.436216,-0.01267358,8.853882,5.164465,5.844217,0
4.2874427,-0.7074004,7.908649,4.8014,5.9184995,0
5.516927,-1.5601293,9.870289,4.354719,6.122979,0
3.510642,0.8456391,7.109476,5.220372,5.2217984,0
4.086506,0.17304571,8.772432,5.3102465,5.614108,0
5.7128468,-3.1096299,8.460622,3.320252,6.876366,0
6.2517767,-3.385591,8.422193,2.9707232,6.704002,0
3.7278597,-0.59593505,9.052417,4.787421,6.391206,0
4.313962,-0.91516674,9.95602,4.063896,5.644319,0
4.7440133,-0.51893055,8.505954,5.4511766,5.971333,0
4.016305,-0.08246936,6.613177,4.706392,5.551954,0
5.3093586,-2.805762,9.022624,3.0034144,6.2114944,0
3.8951194,-0.39091104,8.493469,5.193915,6.278863,0
2.860854,1.6321311,7.6031704,5.1588383,4.4456816,0
3.3731084,0.74751425,8.194982,5.4030166,5.3151503,0
4.3190355,-1.0198972,9.908556,3.8661456,5.6799426,0
3.5185685,0.20625693,8.3935175,4.4974065,5.0528297,0
6.317349,-3.5542085,8.522727,2.7052903,6.579451,0
5.16077,-1.8373038,7.643273,4.0652757,6.289132,0
5.6456356,-1.9844121,9.874986,4.099287,6.137545,0
3.472753,0.22719489,7.1750045,4.025901,4.738713,0
3.198597,1.1429796,7.970964,5.0711246,4.683256,0
4.853612,-1.5769752,9.239464,3.6476336,6.6201653,0
4.4245105,-1.2786098,8.473939,3.4890418,5.4446793,0
4.570028,-2.0559285,9.203825,4.1063657,6.6893883,0
5.1665616,-2.4480503,8.433232,4.0015693,6.915111,0
3.6862662,0.16058236,6.6981163,4.718965,5.0478578,0
4.179499,-0.98312545,7.4628344,3.793124,5.5870895,0
5.4458985,-2.9226701,8.868018,2.8847783,6.422726,0
4.8664103,-1.9057417,7.6297307,3.785373,6.3701806,0
3.1175966,0.8843388,6.91723,4.6135983,4.705228,0
3.355082,0.23496506,7.075414,4.35653,5.027469,0
4.443362,-1.0279446,10.04701,4.317269,5.6229906,0
6.1212535,-3.498585,8.644321,2.5178556,6.4357862,0
3.3355503,0.61177194,8.509011,4.9452972,5.083015,0
3.9772243,-0.19353221,9.3004465,4.88123,5.6090875,0
3.7523181,0.16209462,9.921241,5.143917,5.5647492,0
5.369556,-2.0317357,9.905268,3.6626258,6.3239727,0
6.1204658,-3.4524097,8.981508,2.542594,6.4254274,0
3.4265945,0.9746254,6.5694027,5.1823277,4.96012,0
4.78247,-1.2198862,8.529271,4.9237614,6.215534,0
5.6027765,-2.774339,9.0974245,3.5373845,6.534758,0
3.8193536,-0.5373453,7.697228,4.196338,5.5600104,0
3.3908534,1.5860753,9.3100815,4.9887643,3.9304602,0
5.3463955,-2.2508104,7.8991075,3.7091036,6.486124,0
3.6325924,0.32368127,6.337255,4.841416,5.235144,0
3.2136812,1.4631819,8.980485,5.648028,4.8419166,0
5.42503,-2.702478,9.21874,3.6343875,6.4586387,0
2.9239793,1.585917,7.947016,5.2337613,4.51348,0
3.4404051,-0.029419119,7.6279554,3.9101737,4.8935537,0
3.355871,1.2835695,6.589497,5.3376803,4.845838,0
4.077814,-0.97083336,9.3196945,4.901348,6.6331315,0
3.7422204,0.053190004,8.313926,5.02346,5.3342643,0
4.762555,-2.0294073,9.198571,2.9765563,6.1071696,0
5.816878,-3.1378047,8.782361,2.6053622,6.573141,0
2.9765406,2.5487587,8.5922985,5.98052,4.085129,0
2.9441187,1.6395402,7.4228625,5.417338,4.5635695,0
6.027539,-3.4312434,8.91818,2.506781,6.5555606,0
4.3475394,-1.2496071,9.111209,4.5348487,6.6814427,0
3.030743,2.2296586,9.057497,5.7404804,4.133608,0
2.960096,2.1586127,8.764187,5.8801126,4.3646383,0
4.252941,-0.24707526,6.783152,4.869868,5.739031,0
4.497049,-1.6423426,8.17776,3.8020732,5.721524,0
2.709846,2.083693,7.529294,5.2993674,4.16459,0
2.998741,1.7023027,7.2180295,5.3733196,4.5268345,0
3.4533787,0.07833605,7.364222,4.335485,5.2086253,0
3.3725636,0.11763352,8.104907,4.2317553,4.9289794,0
5.4725103,-2.8082366,8.812544,3.4608722,6.749631,0
2.6813276,1.7864819,7.7838497,5.0136943,4.204202,0
4.1308947,0.03241244,7.476824,5.2071624,5.741005,0
5.527672,-2.6667144,8.04548,3.366875,6.478244,0
3.8270223,-0.068714716,8.98282,5.1169176,6.121177,0
4.8574085,-2.1135666,8.919307,4.192629,6.6843843,0
3.4984288,0.28908974,8.825168,4.4600754,4.9214,0
3.2071023,2.6748796,9.193517,6.3888187,4.1544223,0
3.1278667,1.4962071,8.035319,5.466047,4.920224,0
4.601127,-1.0506612,9.913758,4.6430626,5.573016,0
4.1735206,-0.1573627,10.057964,4.7526355,5.3969264,0
6.0014415,-3.4469483,9.102405,2.3845248,6.364056,0
4.062687,-0.789298,8.478199,5.3046927,5.4607267,0
4.8593197,-1.38679,8.891136,4.3946204,6.1613445,0
2.8795018,2.2838254,7.703236,5.6348605,4.18553,0
5.3696218,-2.6584184,9.116485,3.1259255,6.192736,0
5.768019,-3.1760843,8.547079,3.127027,6.7344055,0
3.7680085,-0.27210158,9.34057,4.09905,4.890329,0
4.535487,-1.7018199,10.110083,3.2920213,5.5558734,0
4.5138154,-2.1615467,8.884065,4.533559,7.2853465,0
3.5304117,1.3174616,9.582491,5.5039186,4.683846,0
3.5600467,-0.778705,9.167437,5.217248,6.6434784,0
3.5884666,-0.5334542,8.795322,4.753179,5.9497385,0
3.596095,0.4157302,6.9591393,5.1181126,5.4588914,0
4.557058,-0.9935896,8.330645,5.0747905,6.1610103,0
3.6893222,0.59533566,9.150738,4.797904,4.837053,0
3.9265792,0.07796413,6.882569,4.692766,5.662403,0
6.604649,-3.7731748,8.661535,2.3711953,6.5389633,0
5.03712,-1.340907,10.4151745,4.139254,5.8991017,0
3.0356963,1.354534,7.337546,5.1129727,4.6875014,0
6.0337906,-2.6992798,9.927373,3.34104,6.28928,0
4.781988,-1.6965542,8.13645,4.001122,6.127999,0
3.581526,-0.30551103,8.930934,5.3051023,6.392793,0
3.4698465,1.4686842,7.526172,5.557964,4.745067,0
4.2319274,-1.262305,8.688415,4.309998,5.9986677,0
3.9585276,-0.06908238,7.927985,5.0624843,5.4731317,0
4.5594215,-1.9796126,9.688851,3.3263807,5.9278216,0
5.2555957,-1.1230032,10.783557,4.2351303,5.612354,0
3.458086,0.87106895,8.918236,5.389837,5.089754,0
3.4714503,0.34017518,9.8206215,5.2184715,5.573022,0
2.883191,1.7921212,7.4711246,5.501103,4.526238,0
3.8770049,0.41140175,7.815984,5.3111057,5.298511,0
4.287711,0.6381735,9.52848,5.66468,5.298567,0
3.7338643,1.7006185,9.040127,6.289763,4.863679,0
3.431925,0.24147569,9.134337,5.0486994,5.218478,0
3.68948,0.08282128,6.6573153,4.888861,5.2689557,0
3.534306,0.40034366,8.554989,4.9525437,5.3563476,0
4.660977,-2.3564289,8.790965,4.1692224,7.136511,0
2.97354,1.0773264,7.511958,4.7252336,4.6167703,0
3.9804265,-0.3557441,8.390481,4.9496217,5.753774,0
3.2546728,0.2550024,7.783129,4.2073417,4.8307157,0
3.326072,2.2601254,9.227997,6.2883353,4.5429473,0
4.564473,-2.1889815,8.567582,3.0971353,6.1225495,0
