umap0,umap1,attack
2.890693,1.9179355,0
7.5592313,1.6066484,0
6.1205897,0.67627764,0
7.2459483,2.3175538,0
1.5408018,3.110612,0
1.6128141,1.8417394,0
0.17723231,1.3581505,0
1.059494,1.4502529,0
5.7059674,4.5953803,0
6.7865667,2.399765,0
5.2258263,4.9960113,0
5.8621836,0.826382,0
0.1350323,2.163575,0
0.39724904,1.1988467,0
4.0107684,0.8819863,0
5.3536215,1.9381977,0
2.165683,3.847275,0
3.9881136,4.1954913,0
7.4276395,1.1408098,0
1.3622594,3.157909,0
4.1048617,1.5365325,0
7.972164,5.059292,0
2.7826133,-0.024185427,0
2.081726,1.8890179,0
4.604584,2.9873111,0
4.0994425,1.5571688,0
1.4941651,4.0790505,0
6.4418855,1.5083953,0
4.8385367,3.139928,0
0.317464,0.851333,0
-0.47137862,0.76065725,0
3.7163079,3.1136086,0
2.6136034,3.9872696,0
4.2143946,2.4846292,0
5.369083,0.30155718,0
0.28407723,1.7683626,0
4.2433305,2.5545194,0
7.3718486,2.3629582,0
5.8314943,2.7426267,0
2.4235542,3.997487,0
5.306175,2.4359632,0
-0.7549464,0.74763083,0
2.3829784,0.59923387,0
0.9645334,3.720164,0
5.511775,0.84205115,0
6.5590644,2.5914989,0
1.854857,2.9977007,0
2.889303,0.9419272,0
1.7973931,2.463764,0
1.4026608,1.2896596,0
5.85908,0.69143546,0
3.7364497,0.5680972,0
0.267398,1.5384253,0
2.2282076,0.74276537,0
6.52471,1.1270324,0
5.77697,1.1213741,0
2.5612943,4.0362844,0
-0.6863436,1.0280291,0
5.63397,2.897221,0
4.3224864,3.6881535,0
4.2822413,4.3512836,0
0.864344,3.2453475,0
-0.8897193,1.4058436,0
6.875143,1.0105022,0
3.196783,2.0064778,0
0.4210676,1.8215363,0
4.3678513,1.210329,0
6.3742123,5.2643065,0
1.5802612,0.68680733,0
6.073426,0.32065797,0
6.5698686,3.8886745,0
0.641319,2.227642,0
7.1444826,2.8008947,0
5.1860847,1.1653682,0
7.202115,1.1139777,0
3.3342922,3.1338036,0
5.0709314,2.700433,0
0.99404496,2.6268303,0
-0.3414879,1.2977794,0
8.074855,4.133562,0
7.5548973,2.2825925,0
-0.65516293,1.283905,0
2.8262527,2.8363564,0
7.5128803,4.703088,0
7.519917,4.081445,0
4.9293466,0.47921076,0
2.8870542,0.90529126,0
7.952179,2.5970833,0
7.5548234,2.1234834,0
5.387451,1.2463284,0
5.398826,2.0941465,0
0.6436017,1.5960706,0
7.536419,2.6537554,0
4.99018,1.433599,0
0.926108,0.6877187,0
4.2494698,3.169878,0
1.9008156,2.2158499,0
4.990139,3.9224906,0
7.9496613,4.85086,0
6.8816247,2.9835272,0
2.6767359,4.018373,0
3.8613412,4.575156,0
-0.92559147,1.6349819,0
4.367217,2.4077175,0
2.6517162,2.119392,0
8.025898,2.9750519,0
0.41817194,1.9105572,0
0.0627679,1.068884,0
4.5306163,4.7949944,0
1.3908416,3.6758423,0
1.9578028,2.1450908,0
6.0860586,4.61181,0
3.7414281,3.1902552,0
3.9994888,2.666128,0
5.984886,0.9536336,0
3.727931,2.0110261,0
5.27225,4.3012147,0
5.2681923,0.69586056,0
-1.2906238,0.87338424,0
1.6884573,4.3151174,0
7.110604,2.0689783,0
-0.14961305,2.9586325,0
2.6130004,1.0180497,0
4.159915,3.0466952,0
6.884081,2.262251,0
3.1711555,2.0832963,0
4.952548,1.9852636,0
1.3379947,3.129659,0
1.686087,4.827142,0
5.7736907,3.7311985,0
4.5794683,4.3511086,0
7.657758,2.4092405,0
5.496056,2.2405012,0
5.3166575,4.1343966,0
6.732315,4.1059184,0
5.0335827,3.8476443,0
5.8198724,0.5869609,0
5.1563373,3.08726,0
1.7415247,1.859343,0
6.800645,2.0476618,0
4.4304385,2.3960223,0
5.668645,1.6685367,0
7.4561405,4.4702744,0
1.4954311,1.4571891,0
5.544084,1.5759804,0
7.197165,2.9092762,0
-0.4224497,1.1707934,0
1.4755255,3.0100088,0
1.1162033,3.3851223,0
0.83774143,2.257468,0
6.3995786,2.155396,0
3.6837404,1.6492331,0
1.0952964,0.76680535,0
6.063202,3.9281185,0
1.9850425,4.725063,0
0.67869467,2.5101504,0
7.096451,4.536901,0
6.1428275,0.90708786,0
1.8696549,2.7423232,0
5.1818705,1.9956782,0
5.6247115,4.016228,0
-0.15017897,2.4170232,0
3.080405,2.1040301,0
1.7668194,1.928298,0
7.2614856,2.441082,0
5.455554,1.6334498,0
7.4247746,2.35124,0
1.3114456,1.1669985,0
6.0500636,3.4822385,0
6.8670945,0.6857085,0
7.0905313,2.4849136,0
6.6356535,1.7877016,0
