umap0,umap1,umap2,umap3,umap4,umap5,umap6,umap7,umap8,umap9,attack
11.724453,5.503158,6.672392,3.5886142,5.736496,5.947645,5.528022,7.1954646,5.314078,4.437213,0
9.348294,1.6056637,5.635168,4.60985,5.5544972,5.0924563,5.107184,7.5146894,6.094338,4.186311,0
10.066543,2.9418056,4.9314218,2.7205286,5.465821,4.973608,5.4977236,6.5257006,5.4767017,4.5201926,0
1.8719158,3.679887,5.9565835,5.9530215,5.35298,4.3779473,5.7244225,7.316658,6.184628,3.8920007,0
11.348961,9.525012,6.125366,4.462644,4.6640954,4.8133197,6.403158,6.810891,5.7354593,4.4990454,0
10.36843,2.962149,4.9470606,2.6006365,5.5383415,4.9811153,5.553378,6.4255896,5.4991326,4.5322943,0
11.304407,8.690046,5.9943585,4.2191863,5.0567746,4.64644,6.200355,6.5392866,5.930383,4.436801,0
11.796667,8.762199,6.3545594,3.8629053,4.3710713,5.6290374,5.9645867,7.650791,5.145365,4.6447845,0
11.251742,9.456842,6.033959,4.505668,4.8470106,4.5889306,6.451875,6.5374837,5.909388,4.4570518,0
11.345287,6.6104646,6.561074,5.111889,5.4848766,5.1025558,6.333679,6.5278573,5.9645934,4.3220615,0
1.1495663,4.0516357,6.1570444,5.6943436,4.690815,4.3653398,5.833266,7.5739746,6.0804944,4.0147514,0
2.711736,6.279694,1.0770695,5.0862193,5.263689,4.2674656,6.3959785,6.2627296,5.3623123,4.478023,0
11.430541,7.5570726,6.424952,4.79322,4.9099073,5.265568,6.346763,6.905691,5.629784,4.460949,0
1.7394569,3.8747096,5.8832264,5.980175,4.8244486,4.3111334,5.901333,7.5153785,6.068891,4.04251,0
9.721619,2.7973647,3.7218852,1.7886935,4.00425,4.6565266,5.6698465,6.620736,4.922648,4.8428826,0
6.367856,3.3050706,4.3721423,7.3457355,2.633796,4.279675,6.1589503,8.355272,5.944311,4.4644346,0
11.612304,8.768193,6.482775,4.6161623,4.5431123,5.3685637,6.2843637,7.2896237,5.4694414,4.5345635,0
11.849134,5.7453194,6.759551,3.4865534,5.653322,6.106032,5.4601517,7.3736033,5.182448,4.4696994,0
