umap0,umap1,attack
12.76309,4.3883357,0
8.926718,0.5429481,0
13.104561,1.3039728,0
0.04693349,4.007673,0
12.432808,9.286921,0
13.043925,1.2805182,0
11.749062,8.46718,0
14.070346,7.8910947,0
11.930637,9.300143,0
11.308576,5.8227,0
-0.4060716,4.972512,0
2.2463703,10.599654,0
12.188245,6.9172187,0
0.13295162,4.549792,0
15.339084,1.4187092,0
4.1407223,3.5329945,0
13.324496,8.291057,0
12.9649725,4.7425265,0
4.2669377,2.983949,0
12.283309,8.573719,0
11.252155,5.9521265,0
3.282316,9.573045,0
2.5235167,10.653357,0
5.27688,5.22227,0
12.842608,8.553499,0
-1.4840465,4.783864,0
14.354489,5.5391264,0
12.448134,8.919749,0
0.17183745,4.039209,0
16.012741,1.1716937,0
4.8331895,2.1918917,0
16.306406,1.7659744,0
4.9520345,2.7988188,0
11.960517,9.513882,0
11.8082485,3.3590615,0
8.292028,-1.1843113,0
13.64067,4.6670537,0
15.860969,1.175015,0
8.917467,0.32900023,0
14.638466,1.0723734,0
14.846669,0.7319379,0
13.205912,4.187899,0
12.109195,8.463439,0
9.8473015,-0.8392877,0
4.625117,2.3871875,0
4.8369126,4.3238015,0
16.628384,1.480156,0
8.233916,-0.43436676,0
12.307265,8.74145,0
12.64166,9.602678,0
3.3682992,8.171,0
4.6126556,2.9263113,0
5.1828227,5.3525453,0
4.2410808,3.5418708,0
1.9965104,10.836368,0
0.37166065,3.9020202,0
12.398804,9.491012,0
13.471841,1.4263796,0
13.105319,7.3842072,0
6.0693517,6.108506,0
14.548268,5.618684,0
8.134437,4.3401504,0
12.777309,7.878349,0
4.677742,1.1789328,0
11.782356,3.6800287,0
12.811379,7.737542,0
2.325729,10.751116,0
12.041815,9.311974,0
5.1788874,2.164062,0
-1.392307,5.47433,0
12.92148,4.723581,0
-0.6506308,5.1525908,0
7.728141,-1.4193815,0
11.515039,3.449275,0
15.249234,1.0963687,0
13.718115,4.5517263,0
4.55717,2.1895947,0
12.979044,4.091063,0
10.980774,6.337889,0
11.870376,4.090302,0
13.896107,7.2022324,0
3.0661922,9.453004,0
8.397265,-0.8960809,0
14.052797,5.5142293,0
6.926159,2.8980212,0
12.268667,9.271045,0
12.681095,3.8476076,0
4.52777,2.6265619,0
2.673479,10.335912,0
12.810911,0.84543437,0
4.691205,1.991601,0
3.1576061,9.14046,0
10.348557,7.29633,0
4.706558,1.9918128,0
16.193714,1.2711287,0
11.583361,8.326506,0
16.577784,1.6060426,0
13.334337,1.528263,0
3.1400564,9.000903,0
13.753866,8.558982,0
2.484249,10.518766,0
-0.35364187,4.912548,0
5.153488,4.57791,0
12.639623,9.567185,0
13.292687,9.41913,0
13.530908,8.251823,0
7.7831273,-1.4432901,0
12.255184,0.6135698,0
13.690383,7.4311795,0
11.557894,8.208288,0
7.434377,3.9991345,0
13.030569,1.7977983,0
5.257944,2.1356049,0
13.338167,7.82274,0
13.507969,3.8834927,0
12.035304,6.869095,0
12.1465225,7.985333,0
12.610305,9.714483,0
12.246335,7.028011,0
11.903994,3.4175537,0
4.9521117,4.1860046,0
10.337682,8.092422,0
14.17237,5.012338,0
3.0229216,9.325102,0
12.986787,5.693151,0
13.1168165,8.021554,0
-0.74197394,5.6486397,0
5.5319076,5.2258925,0
7.159227,2.9910002,0
5.3089576,5.169311,0
2.8357368,9.048998,0
2.6114023,8.359211,0
4.740171,4.0775948,0
13.631395,4.0137367,0
7.531782,3.580795,0
14.696167,1.1896809,0
0.33170366,4.161793,0
12.653614,0.34238893,0
2.4683692,10.337652,0
10.390319,8.148948,0
3.4799976,8.610044,0
14.50565,5.6128407,0
5.3423557,2.6394212,0
14.129421,0.59952974,0
12.123399,3.5451653,0
16.1979,1.312882,0
7.8616824,3.2005923,0
8.490995,-1.5493693,0
0.04234448,4.0960464,0
12.31092,1.3424274,0
13.53874,8.159447,0
12.674142,8.872783,0
5.820277,5.746536,0
5.0332813,4.0206327,0
15.4108,2.0577478,0
5.024139,5.401201,0
2.7534897,10.450981,0
0.44632384,4.1302614,0
3.828528,2.6668987,0
12.366989,7.450615,0
12.066424,8.159147,0
2.485341,8.353407,0
5.127119,4.696962,0
12.489515,9.571479,0
2.8227518,10.474846,0
4.331466,3.6022258,0
12.07532,8.042129,0
5.7492313,6.672386,0
15.824856,1.3683506,0
12.538759,8.089306,0
12.765038,8.2234535,0
11.386569,3.629625,0
9.369766,0.59308505,0
4.1985197,3.0429242,0
8.345295,-0.43149397,0
13.33813,1.8377488,0
14.817392,0.7166613,0
6.77765,3.3035455,0
14.737946,1.6219499,0
7.050205,3.2537203,0
15.028335,1.8503761,0
6.6369686,3.1018925,0
5.7384033,5.0125413,0
-0.9999166,5.1439548,0
6.9178452,3.208622,0
12.431605,7.3191943,0
8.942096,0.49518138,0
4.839349,3.7108042,0
-0.95478374,4.394914,0
16.4747,1.593817,0
12.708299,0.7147524,0
16.60743,1.5339805,0
-1.3827537,3.755072,0
13.787786,7.931612,0
0.024085645,4.3693943,0
15.830187,1.0938913,0
14.926192,0.9516782,0
3.1675913,8.158372,0
12.044775,8.140633,0
8.657871,-0.36098558,0
3.974182,1.3531107,0
2.0933597,10.376771,0
12.152741,1.0348485,0
15.458049,1.9719566,0
13.187238,1.3931779,0
4.723518,2.5230427,0
13.004298,6.556387,0
4.4923434,3.5759966,0
8.76846,-0.8060733,0
14.113851,7.9288893,0
12.257737,9.435194,0
5.9968004,5.721117,0
14.148857,7.990997,0
5.2199106,1.625956,0
13.273573,7.4564905,0
0.11192828,3.944331,0
4.8489785,1.4629502,0
3.3015063,7.5714564,0
5.961593,5.9165316,0
4.979662,5.24286,0
13.873677,5.5805364,0
7.648264,-0.75926906,0
8.4429655,-0.8026354,0
12.199172,3.8021002,0
12.5043125,1.2102066,0
8.939473,0.9998627,0
7.0431037,2.837011,0
11.810316,7.7807674,0
12.916187,0.34281975,0
13.216702,4.1833467,0
4.1490736,4.8432894,0
4.652694,1.7018567,0
6.542597,3.132062,0
8.039895,2.8886125,0
13.643603,4.0285654,0
13.488377,8.29998,0
8.235644,0.08587883,0
8.72011,-0.4141476,0
11.982218,8.684051,0
15.538171,1.9712472,0
5.0091605,3.9929934,0
5.8569202,3.26103,0
8.722948,4.309752,0
14.010532,4.5911355,0
8.203262,0.14127547,0
3.9630792,2.903897,0
-0.5906978,5.574265,0
10.915127,7.382237,0
12.013678,9.236955,0
8.959054,0.4809491,0
12.821895,8.144149,0
15.984199,1.2096753,0
13.447499,7.592608,0
5.001123,4.6098757,0
13.83497,4.79663,0
13.827013,4.1929164,0
8.896093,0.5993525,0
6.741849,3.1075654,0
8.059686,-0.9858365,0
0.3406453,5.0350432,0
8.311205,4.2085958,0
5.83778,5.814223,0
14.261021,5.410043,0
13.567815,4.35758,0
13.215226,7.9330096,0
15.444458,1.4731776,0
6.264031,3.6851232,0
15.154377,1.4017372,0
5.282756,3.6639843,0
-1.4781879,5.3699446,0
4.9691095,2.8517835,0
0.21048422,4.151909,0
15.546817,1.9332516,0
12.499718,6.9804378,0
13.784685,8.651451,0
12.391079,8.96361,0
14.213735,0.5371684,0
7.265793,2.9271917,0
8.191923,-0.6983143,0
15.407337,2.0848424,0
9.324348,0.55765444,0
11.861211,6.694352,0
13.642319,4.001023,0
5.975226,5.696366,0
13.534871,9.061699,0
8.1924,-0.09933337,0
3.6206672,8.476839,0
12.934019,9.847421,0
13.651875,0.8298539,0
5.4020166,3.4096205,0
6.3858695,2.8055382,0
9.480715,0.5279347,0
13.448516,8.241914,0
8.304321,-0.18587568,0
0.14255632,4.3549576,0
13.037121,9.125117,0
-1.2896844,4.8769965,0
-1.3098625,5.44699,0
9.458621,0.25192776,0
7.2781367,3.5887945,0
13.634801,0.5368347,0
13.785406,4.127133,0
15.857087,1.5788165,0
13.658336,4.336216,0
11.830733,7.7184563,0
-0.57860154,5.6220284,0
8.82782,0.55096334,0
13.53568,3.9920437,0
11.261161,8.3468275,0
4.390371,2.5235655,0
4.373876,2.4421904,0
-0.63589495,5.0562754,0
-0.03790743,4.060992,0
4.0929537,2.9090555,0
15.668771,1.6030122,0
12.446163,6.9110055,0
3.4090812,7.732306,0
6.0345445,6.6617017,0
-0.07914942,4.347314,0
4.2713714,3.5572512,0
14.829524,1.840391,0
12.155572,2.8893738,0
13.963433,7.7116523,0
4.886896,1.6889051,0
0.5016954,4.398691,0
10.325722,7.8897667,0
9.324558,0.05621367,0
-0.6492161,4.323572,0
13.574065,4.2645607,0
14.943651,1.4901499,0
15.075497,1.8240721,0
8.923334,0.97583324,0
14.6052475,1.5668128,0
5.466902,4.4538264,0
4.6527696,1.887346,0
5.092841,1.969025,0
13.648228,8.494621,0
13.396864,4.5598903,0
4.3819227,3.5386572,0
3.2785532,8.976596,0
4.1708364,4.9745297,0
3.6286635,9.729916,0
14.987431,1.4330881,0
3.6689107,2.2847848,0
6.338299,3.0320876,0
15.214189,1.4406767,0
0.05453769,3.5801098,0
5.4634476,5.2313175,0
13.6924095,0.7889617,0
13.981648,4.7636576,0
16.583906,1.4776864,0
5.2753267,4.135463,0
3.7334023,3.3391287,0
2.3772767,9.448952,0
11.062163,0.5898597,0
7.926942,4.266939,0
4.853449,4.650829,0
14.7012415,1.9836011,0
14.121133,5.977922,0
12.588279,7.768299,0
12.890924,9.843641,0
2.685308,10.429587,0
12.607482,3.7691777,0
8.802945,0.48227513,0
5.4373627,4.461356,0
-0.06423703,3.711769,0
2.9448383,10.093879,0
4.9323373,2.930512,0
3.458691,9.103629,0
4.5953417,1.8196757,0
14.174534,5.04662,0
9.075953,0.15011102,0
-0.38002217,5.4361753,0
7.0229607,2.9121883,0
7.1998725,2.9027987,0
5.4635534,5.213096,0
12.924522,7.61402,0
14.471441,0.8359772,0
14.540992,1.7017542,0
12.51011,8.921087,0
-0.6216192,5.61303,0
14.498531,5.4753838,0
4.9191504,2.503374,0
13.494349,4.4372654,0
2.25837,9.406905,0
14.313193,1.52685,0
3.155029,8.567518,0
8.457802,0.093332335,0
11.690998,0.37231767,0
13.039331,6.808329,0
8.291516,-1.0061508,0
7.9479795,3.3572805,0
3.1910882,9.297379,0
14.398154,0.977529,0
12.1434555,6.8564835,0
4.7118287,4.2005143,0
8.533828,-0.5396886,0
4.978014,3.8524036,0
12.610577,9.371776,0
12.172813,9.342123,0
8.0557375,-1.3854282,0
6.9676995,3.1707122,0
4.0249453,2.815321,0
11.581935,6.956389,0
9.047754,0.6746486,0
13.054693,9.697997,0
4.5357127,3.4854012,0
-0.21158879,4.6993814,0
3.759132,2.4150143,0
15.663927,1.6993607,0
14.316765,5.487301,0
13.11799,3.5489047,0
4.7945333,2.803977,0
13.531835,5.201468,0
13.488035,7.875945,0
13.653571,5.2959547,0
14.541718,1.3931743,0
12.771416,6.8874416,0
8.185333,-0.81533885,0
15.402541,2.0682366,0
10.213141,8.096026,0
8.145592,-1.2474751,0
13.459707,7.5978546,0
8.1900215,-0.21165788,0
-0.31494722,5.028953,0
12.504765,8.721781,0
12.18878,6.0062876,0
15.692624,1.8374608,0
11.029621,7.96512,0
7.290883,2.6169848,0
13.786739,0.9838232,0
7.1047926,2.7482867,0
12.808432,8.089822,0
5.8028584,6.0661874,0
12.992214,7.6439238,0
7.6510086,3.2095513,0
8.25799,3.5583522,0
5.115047,2.3365853,0
13.186832,4.6759424,0
3.3354158,8.19439,0
-0.955387,5.1499963,0
-0.04783435,4.026573,0
4.713906,2.5875397,0
1.0132668,3.8606174,0
8.450651,3.9785264,0
-2.0259955,4.758394,0
2.5313666,8.949758,0
10.743909,6.956532,0
7.8350186,3.9917328,0
4.838946,2.8793569,0
4.624413,2.22224,0
4.9264874,1.6002154,0
8.759556,0.626628,0
3.892298,2.1967282,0
13.578855,8.628012,0
13.362722,1.1985577,0
8.867903,1.1055812,0
3.3877163,8.08102,0
7.7518816,3.0270004,0
0.10117409,4.7810564,0
5.8774853,5.375686,0
