umap0,umap1,umap2,umap3,umap4,attack
11.764416,5.115448,7.6044626,6.632187,4.2041383,0
8.963818,1.478573,6.6746054,5.6561217,4.52203,0
10.120255,2.7895484,5.1725717,7.484961,4.324307,0
1.8958219,4.04022,6.60701,3.5955641,4.968463,0
11.540355,9.250689,6.362533,5.5135355,5.519168,0
10.428553,2.7520041,5.1215696,7.5119886,4.1920233,0
11.427241,8.431093,6.0360694,5.6953588,4.8930674,0
11.858588,8.289691,7.4504046,6.4304876,6.0152316,0
11.442788,9.22265,5.9808755,5.410202,5.215739,0
11.652609,6.367413,6.751919,4.7066383,4.315614,0
0.882908,4.0585594,6.7039557,3.8319771,5.289148,0
2.8416944,6.6539397,1.7187091,4.486147,5.3728323,0
11.688651,7.259082,6.861958,5.191815,5.152604,0
1.5131077,4.040434,6.5074773,3.6173418,5.4498596,0
9.885303,2.73633,4.097967,8.632682,5.8726306,0
6.2104874,3.2354019,5.9085317,2.9458594,8.079822,0
11.853297,8.490221,7.198292,5.551232,5.7510886,0
11.859812,5.300017,7.8526306,6.7952814,4.3396525,0
6.4524345,2.8590813,6.2113056,3.3017743,8.405088,0
11.445484,8.479656,6.216022,5.862975,5.2551045,0
11.51727,6.280252,6.4002914,5.0672045,4.307253,0
4.027608,6.1232047,2.1925704,4.4155087,5.5547123,0
3.0384986,6.8247695,1.8241286,4.6316724,5.35501,0
6.98926,3.5672915,4.303267,2.493201,7.0603275,0
11.6293,8.63022,6.630692,6.001516,5.697304,0
0.68576103,4.392885,7.126302,3.4649682,4.2025137,0
12.039473,6.3075438,8.190437,7.251285,5.068073,0
11.4621525,8.876503,6.394856,5.5376687,5.471473,0
1.7895392,3.9383044,6.5028954,3.583363,5.127768,0
9.434287,2.7949674,3.9987664,8.4229145,6.4800444,0
7.0713043,2.2612479,5.727802,3.646017,8.009223,0
9.628222,2.982066,3.896821,8.66352,6.782577,0
6.979778,2.7558897,6.1412034,3.4384134,8.42126,0
11.386571,9.403632,6.441258,5.2415204,5.495402,0
11.382032,4.2918243,7.029956,6.1115017,3.6943817,0
7.8939605,1.7186786,7.5834827,5.3657584,3.2370853,0
11.616471,5.6869893,7.525239,6.9360275,4.859694,0
9.461107,2.7848241,4.0505505,8.443171,6.3099384,0
8.859821,1.6149399,6.627751,5.8900013,4.446293,0
9.972952,2.5532856,4.3623514,8.238746,5.3017373,0
9.340687,2.7385015,4.544135,7.8740983,5.4483,0
11.532278,5.481849,7.082633,6.559638,4.5714073,0
