umap0,umap1,umap2,attack
12.724959,5.0609856,7.3955336,0
9.9349375,0.81037855,5.82742,0
12.155359,2.7115958,4.440966,0
1.1546851,3.000925,6.11886,0
11.231151,9.391152,6.4800725,0
12.465817,2.6298409,4.5793605,0
11.134697,8.552181,5.961924,0
12.766602,8.683182,7.153015,0
10.920945,9.374783,6.102534,0
10.652659,6.380476,7.130451,0
0.29753122,3.5347135,5.894172,0
3.1827488,7.8025823,0.27330914,0
11.32308,7.3921504,7.097234,0
0.83682185,3.2210464,5.6740522,0
12.491663,3.1829045,2.3883772,0
4.8577747,2.1000562,3.074623,0
11.782325,8.683596,7.325466,0
12.996523,5.259681,7.514776,0
5.1771235,1.5795416,2.9764583,0
11.562839,8.778724,6.1149416,0
10.903398,6.2466397,6.7024083,0
4.369426,7.1031094,0.6052189,0
3.421495,7.8897486,0.37490535,0
5.8781495,3.9994814,2.8856905,0
11.938766,8.900589,6.5017724,0
-0.07240699,3.307071,7.0410547,0
13.722071,6.5075893,7.5109053,0
11.313249,9.076545,6.443636,0
1.1591297,3.0894675,5.871914,0
11.919811,3.2883933,1.7917389,0
6.139023,1.6115896,2.4876156,0
12.225021,3.5358593,1.5066872,0
5.744464,1.6513225,3.0246625,0
10.921072,9.526278,6.6119723,0
12.015962,3.9566946,6.948964,0
9.200329,0.35820636,7.5838447,0
13.09742,5.7920628,6.985976,0
11.980975,3.283041,1.9384277,0
10.058386,0.9980729,5.940649,0
12.441152,2.8673542,2.9786534,0
11.596071,2.9278984,2.8881316,0
12.493294,5.4666715,6.7067885,0
11.440853,8.614075,5.907264,0
10.608763,1.1276383,7.2279673,0
6.0792584,1.8538166,2.2148905,0
5.7057614,2.9280608,2.8212411,0
12.198336,3.1792698,1.157844,0
9.358876,1.2067407,7.192224,0
11.444388,9.135301,6.1780424,0
11.374219,9.735456,6.358669,0
4.908216,5.9047484,0.7058274,0
5.2263675,1.4515408,3.2242315,0
5.600822,4.0864525,3.1649704,0
4.9065137,2.178859,3.1590226,0
2.907759,7.9332204,0.21161851,0
1.4548529,2.9658864,5.893143,0
11.219838,9.643027,6.2776494,0
12.226316,2.9004557,4.153611,0
11.754821,8.0297575,7.5790753,0
6.319683,5.014597,3.6797132,0
13.81301,6.5555935,7.501976,0
7.5867944,3.4976373,4.9116154,0
11.814169,8.15786,6.478133,0
6.3414326,0.68759763,2.118851,0
12.023899,4.127383,7.1757393,0
12.051575,7.9519095,6.521161,0
3.2823377,7.9210963,0.23461862,0
11.034483,9.406396,6.134463,0
6.070625,1.1066087,3.068675,0
-0.4979416,3.8428586,6.595258,0
12.980603,5.265418,7.537161,0
-0.04832364,3.5601437,6.0818043,0
8.763823,0.5556205,8.026633,0
11.681799,3.922981,6.9855223,0
12.070101,3.1166332,2.5027454,0
12.780023,5.9544587,6.7683606,0
